Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition,color_word_list,color_word_summary
The Adventures Of Ferdinand Count Fathom,"Smollett, Tobias",1753,Pre-Romantic,Novel,,Scottish,,,,,,Influence,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Smollett_TheAdventuresOfFerdinandCountFathom_Gutenberg.txt,http://www.gutenberg.org/files/6761/6761-0.txt,,,,https://en.wikipedia.org/wiki/The_Adventures_of_Ferdinand_Count_Fathom,,,,26-Oct-06,7-Apr-17,Tapio Riikonen and David Widger,,"['candid', 'sanguine', 'cardinal', 'candid', 'imperial', 'imperial', 'natural', 'golden', 'natural', 'natural', 'angry', 'natural', 'natural', 'imperial', 'sable', 'wine', 'candid', 'blank', 'golden', 'rusty', 'hoary', 'white', 'hoary', 'brown', 'natural', 'buff', 'black', 'yellow', 'black', 'black', 'brown', 'natural', 'natural', 'white', 'wine', 'black', 'wine', 'gold', 'rosy', 'black', 'rosy', 'canary', 'bronzes', 'jaundiced', 'fleshy', 'natural', 'natural', 'sanguine', 'white', 'grey', 'grey', 'brown', 'white', 'red', 'blue', 'rusty', 'black', 'white', 'cardinal', 'natural', 'smoked', 'imperial', 'black', 'natural', 'natural', 'imperial', 'rusty', 'black', 'imperial', 'imperial', 'natural', 'sable', 'white', 'natural', 'sage', 'natural', 'natural', 'black', 'rusty', 'sanguine', 'neutral', 'imperial', 'imperial', 'white', 'natural', 'imperial', 'angry', 'black', 'imperial', 'wan', 'natural', 'verdant', 'imperial', 'natural', 'white', 'pearly', 'sanguine', 'snowy', 'black', 'white', 'rosy', 'black', 'marble', 'flinty', 'straw', 'black', 'yellow', 'straw', 'sanguine', 'imperial']","{'candid': 3, 'sanguine': 5, 'cardinal': 2, 'imperial': 13, 'natural': 20, 'golden': 2, 'angry': 2, 'sable': 2, 'wine': 3, 'blank': 1, 'rusty': 4, 'hoary': 2, 'white': 9, 'brown': 3, 'buff': 1, 'black': 13, 'yellow': 2, 'gold': 1, 'rosy': 3, 'canary': 1, 'bronzes': 1, 'jaundiced': 1, 'fleshy': 1, 'grey': 2, 'red': 1, 'blue': 1, 'smoked': 1, 'sage': 1, 'neutral': 1, 'wan': 1, 'verdant': 1, 'pearly': 1, 'snowy': 1, 'marble': 1, 'flinty': 1, 'straw': 2}"
"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762,Pre-Romantic,Novel,Historical Romance,Irish,,,,,,Influence,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Leland_Longsword_OTA.txt,http://ota.ox.ac.uk/desc/5661,,,,,,,,,,,"DUBLIN: Printed by GEORGE FAULKNER, in Parliament Street, MDCCLXVI","['hoary', 'hoary', 'bloody', 'black', 'natural', 'black', 'angry', 'angry', 'natural', 'grey', 'natural', 'natural', 'grey', 'grey', 'imperial', 'sanguine', 'bloody', 'bloody', 'bloody', 'grey', 'grey']","{'hoary': 2, 'bloody': 4, 'black': 2, 'natural': 4, 'angry': 2, 'grey': 5, 'imperial': 1, 'sanguine': 1}"
The Castle Of Otranto,"Walpole, Horace",1764,Romantic,Novel,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Walpole_TheCastleOfOtranto_Gutenberg.txt,http://www.gutenberg.org/files/696/696-0.txt,,,,https://en.wikipedia.org/wiki/The_Castle_of_Otranto,,Project Gutenberg,#696,may 5 2012,7-Apr-17,"Morley, Henry","Cassell & Co, 1901","['natural', 'black', 'natural', 'sable', 'black', 'black', 'marble', 'rusty', 'black', 'white', 'bloody', 'sable', 'brazen', 'black', 'black', 'black', 'black', 'grey', 'lily', 'natural', 'marble', 'hoary', 'wan', 'natural', 'watchet-coloured', 'bloody']","{'natural': 4, 'black': 8, 'sable': 2, 'marble': 2, 'rusty': 1, 'white': 1, 'bloody': 2, 'brazen': 1, 'grey': 1, 'lily': 1, 'hoary': 1, 'wan': 1, 'watchet-coloured': 1}"
The Mysterious Mother,"Walpole, Horace",1768,Romantic,Drama,Gothic,English,,,,,,Central,"Norton, Gothic Readings",,,,,,,,,,,,,,,
"The Minstrel, Or The Progress Of Genius. A Poem","Beattie, James",1771,Romantic,Poetry,,Scottish,,,,,,Peripheral,"Norton, Gothic Readings",Beattie_TheMinstrel_Gutenberg.txt,http://www.gutenberg.org/cache/epub/27221/pg27221.txt,,,,,,Project Gutenberg,#27221,9-Nov-08,7-Apr-17,,,"['blank', 'hoary', 'grey', 'imperial', 'green', 'nut-brown', 'nut-brown', 'snowy', 'black', 'sulphurous', 'green', 'imperial', 'hoary', 'sunny', 'blue', 'blushing', 'hoary', 'marble', 'green', 'yellow', 'hoary', 'angry', 'sunny', 'red', 'snow', 'crimson', 'hoary', 'yellow', 'gilded', 'hoary', 'rosy', 'purple', 'black', 'sable', 'black', 'leaden', 'green', 'hoary', 'yellow', 'bloody', 'golden', 'white', 'bloody', 'green', 'imperial', 'green', 'golden', 'black', 'yellow', 'angry', 'green', 'angry', 'sulphureous', 'sable', 'blue', 'green', 'blue', 'gilded', 'rosy', 'green', 'navy', 'red', 'bloody', 'black', 'purple']","{'blank': 1, 'hoary': 7, 'grey': 1, 'imperial': 3, 'green': 9, 'nut-brown': 2, 'snowy': 1, 'black': 5, 'sulphurous': 1, 'sunny': 2, 'blue': 3, 'blushing': 1, 'marble': 1, 'yellow': 4, 'angry': 3, 'red': 2, 'snow': 1, 'crimson': 1, 'gilded': 2, 'rosy': 2, 'purple': 2, 'sable': 2, 'leaden': 1, 'bloody': 3, 'golden': 2, 'white': 1, 'sulphureous': 1, 'navy': 1}"
The Devil In Love,"Cazotte, Jacques",1772,Romantic,Novel,Occult Romance,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/The_Devil_in_Love_(novel),,,,,,,,,
"Sir Bertrand, A Fragment","Aikin, John and Anna Laetitia",1773,Romantic,Fragment,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Aikin_SirBertrand_UPenn.txt,http://www.english.upenn.edu/~mgamer/Etexts/barbauldessays.html#pleasure,,,,,,,,,16-Mar-17,,,"['brown', 'black', 'black', 'brazen', 'black', 'black']","{'brown': 1, 'black': 4, 'brazen': 1}"
"""On The Pleasure Derived From Objects Of Terror""","Aikin, John and Anna Laetitia",1773,Romantic,Theory & Criticism,Literary Theory,English,,,,,,,"Norton, Gothic Readings",Aikin_OnThePleasureDerived_UPenn.txt,http://www.english.upenn.edu/~mgamer/Etexts/barbauldessays.html,,,,,,"Michael Gamer, Upenn",,,,"Gamer, Michael",,"['natural', 'natural']",{'natural': 2}
The Fashionable Friend. A Novel,"Bonhote, Elizabeth",1773,Pre-Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=FugeMQAACAAJ&printsec=frontcover#v=onepage&q&f=false,,,,,,,,,,
"""Lenore""","Bürger, Gottfried August",1773,German Romantic,Poetry,Gothic,German,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Burger_Lenora_RC.txt,http://www.rc.umd.edu/sites/default/RCOldSite/www/rchs/reader/lenora.html,,,,https://en.wikipedia.org/wiki/Lenore_(ballad),,Romantic Circles,,,7-Apr-17,,,"['white', 'black']","{'white': 1, 'black': 1}"
"Travels Into Dalmatia; Containing General Observations On The Natural History Of That Country And The Neighbouring Islands; The Natural Productions, Arts, Manners And Customs Of The Inhabitants: In A Series Of Letters From Abbe Alberto Fortis","Fortis, Alberto",1774,,Prose Nonfiction,Travel Writing,Italian,,"London: J. Robson, 1778",,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,https://books.google.ca/books?id=wBg90lSgkQQC&printsec=frontcover#v=onepage&q&f=false,,,,,,,,,,
The Robbers: A Tragedy,"Schiller, Friedrich",1781,German Romantic,Drama,Tragedy,German,,,,,,Influence,Caroline,Schiller_TheRobbers_Gutenberg.txt,https://www.gutenberg.org/files/6782/6782-h/6782-h.htm,,unknown,,https://en.wikipedia.org/wiki/The_Robbers,Preface states this is the first English translation,Project Gutenberg,#6782,25-Oct-06,7-Apr-17,"Widger, David",1781,"['natural', 'golden', 'natural', 'golden', 'golden', 'sulphurous', 'sallow', 'imperial', 'angry', 'angry', 'angry', 'black', 'black', 'hoary', 'red', 'black', 'blue', 'gold', 'ruddy', 'red', 'verdant', 'marble', 'red', 'green', 'golden', 'black', 'glass', 'black', 'white', 'snow', 'black', 'red', 'angry', 'hoary', 'angry', 'golden', 'sandy', 'black', 'black', 'brazen', 'raven', 'raven', 'blue', 'bloody', 'flinty', 'blush', 'black', 'brazen', 'golden', 'bloody']","{'natural': 2, 'golden': 6, 'sulphurous': 1, 'sallow': 1, 'imperial': 1, 'angry': 5, 'black': 9, 'hoary': 2, 'red': 4, 'blue': 2, 'gold': 1, 'ruddy': 1, 'verdant': 1, 'marble': 1, 'green': 1, 'glass': 1, 'white': 1, 'snow': 1, 'sandy': 1, 'brazen': 2, 'raven': 2, 'bloody': 2, 'flinty': 1, 'blush': 1}"
"""Illustrations On Sublimity""","Beattie, James",1783,Romantic,Theory & Criticism,Aesthetic Theory,Scottish,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,,,
Memoirs Of Mrs. Siddons,"Boaden, James",1783,Pre-Romantic,Prose Nonfiction,Memoir/Biography,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,https://archive.org/details/memoirsofmrssidd01boad,,,,,,,,,,
The Two Mentors: A Modern Story,"Reeve, Clara",1783,Romantic,Novel,Didactic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/twomentorsmodern00reev,,,,,,,,,,
"""Written On The Sea Shore""","Smith, Charlotte",1784,Romantic,Poetry,Sonnet,English,,,,,,Peripheral,"Norton, Gothic Readings",Smith_WrittenOnTheSeaShore_AllPoetry.txt,https://allpoetry.com/Sonnet-XII.,,,,,,,,,,,,[],{}
"The Recess, Or A Tale Of Other Times","Lee, Sophia",1785,Romantic,Novel,Historical Romance,English,,,,,,Central,"Norton, Gothic Readings",Lee_TheRecess_OTA.txt,http://ota.ox.ac.uk/text/4944.txt,,,,,,Oxford Text Archive,,,16-Mar-17,,,"['black', 'wan', 'black', 'purple', 'natural', 'natural', 'white', 'dove-coloured', 'white', 'black', 'black', 'black', 'angry', 'angry', 'natural', 'natural', 'natural', 'purple', 'pearl', 'coral', 'imperial', 'natural', 'candid', 'empurpled', 'livid', 'white', 'green', 'black', 'golden', 'bloody', 'black', 'black', 'white', 'natural', 'chalky', 'bloody', 'white', 'angry', 'black', 'natural', 'gilded', 'black', 'black', 'green', 'white', 'natural', 'golden', 'natural', 'natural', 'black', 'blue', 'black', 'black', 'black', 'angry', 'bloody', 'rusty', 'gold', 'wan', 'sable', 'natural', 'bloody', 'bloody', 'bloody', 'natural', 'torrid', 'bloody', 'black', 'golden', 'grey', 'green', 'black', 'natural', 'bloody', 'snow', 'green', 'green', 'rush', 'purple', 'black', 'white', 'white', 'bloody', 'black', 'black', 'bloody', 'imperial', 'gilded', 'wan', 'golden', 'white', 'natural', 'white', 'yellow', 'rosy', 'imperial', 'natural', 'golden', 'wan', 'black', 'black', 'black', 'white', 'black', 'black', 'black', 'natural', 'white', 'black', 'blank', 'natural', 'black', 'black']","{'black': 29, 'wan': 4, 'purple': 3, 'natural': 18, 'white': 12, 'dove-coloured': 1, 'angry': 4, 'pearl': 1, 'coral': 1, 'imperial': 3, 'candid': 1, 'empurpled': 1, 'livid': 1, 'green': 5, 'golden': 5, 'bloody': 10, 'chalky': 1, 'gilded': 2, 'blue': 1, 'rusty': 1, 'gold': 1, 'sable': 1, 'torrid': 1, 'grey': 1, 'snow': 1, 'rush': 1, 'yellow': 1, 'rosy': 1, 'blank': 1}"
The Old English Baron,"Reeve, Clara",1785,Romantic,Novel,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Reeve_TheOldEnglishBaron_Gutenberg.txt,http://www.gutenberg.org/files/5182/5182-h/5182-h.htm,,,,https://en.wikipedia.org/wiki/The_Old_English_Baron,,Project Gutenberg,#5182,23-Apr-09,16-Mar-17,"Jack Voller, and David Widger",,"['natural', 'angry', 'straw', 'natural', 'rusty', 'bloody', 'black', 'gold', 'golden', 'natural', 'natural', 'bloody', 'natural', 'natural']","{'natural': 6, 'angry': 1, 'straw': 1, 'rusty': 1, 'bloody': 2, 'black': 1, 'gold': 1, 'golden': 1}"
Vathek,"Beckford, William",1786,Romantic,Novella,Oriental Tale,English,,,,,,Central,"Norton, Gothic Readings",Beckford_Vathek_Gutenberg.txt,http://www.gutenberg.org/files/42401/42401-0.txt,,,,https://en.wikipedia.org/wiki/Vathek,,Project Gutenberg,#42401,24-Mar-13,16-Mar-17,,,"['natural', 'gilded', 'crimson', 'gilded', 'angry', 'green', 'angry', 'green', 'green', 'red', 'yellow', 'coral', 'blue', 'black', 'golden', 'ruddy', 'green', 'white', 'black', 'golden', 'imperial', 'marble', 'golden', 'black', 'marble', 'black', 'angry', 'sanguine', 'imperial', 'white', 'black', 'red', 'red', 'brown', 'black', 'white', 'blue', 'imperial', 'blue', 'imperial', 'green', 'black', 'black', 'hoary', 'blue', 'natural', 'white', 'red', 'imperial', 'black', 'natural', 'white', 'blue', 'red', 'imperial', 'blue', 'imperial', 'white', 'black', 'gold', 'livid', 'brazen', 'livid', 'black', 'black', 'flame-coloured']","{'natural': 3, 'gilded': 2, 'crimson': 1, 'angry': 3, 'green': 5, 'red': 5, 'yellow': 1, 'coral': 1, 'blue': 6, 'black': 12, 'golden': 3, 'ruddy': 1, 'white': 6, 'imperial': 7, 'marble': 2, 'sanguine': 1, 'brown': 1, 'hoary': 1, 'gold': 1, 'livid': 2, 'brazen': 1, 'flame-coloured': 1}"
The Ghost-Seer,"Schiller, Friedrich",1787,German Romantic,Novel,Gothic,German,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Schiller_TheGhostSeer_Gutenberg.txt,http://www.gutenberg.org/files/6781/6781-h/6781-h.htm,,,,https://en.wikipedia.org/wiki/The_Ghost-Seer,,Project Gutenberg,#6781,26-Oct-06,7-Apr-17,"Widger, David",,"['black', 'black', 'black', 'black', 'black', 'red', 'silver', 'silver', 'white', 'cardinal', 'bloody', 'black', 'leaden', 'natural', 'angry', 'natural', 'sanguine', 'natural', 'marble', 'natural', 'natural', 'black', 'natural', 'natural', 'cardinal', 'lily', 'black', 'black', 'golden', 'natural', 'black', 'natural', 'purple', 'golden', 'white', 'white', 'white', 'white', 'cardinal', 'cardinal', 'cardinal', 'natural', 'natural']","{'black': 10, 'red': 1, 'silver': 2, 'white': 5, 'cardinal': 5, 'bloody': 1, 'leaden': 1, 'natural': 11, 'angry': 1, 'sanguine': 1, 'marble': 1, 'lily': 1, 'golden': 2, 'purple': 1}"
"""Invocation To Horror""","Cowley, Hannah",1788,Romantic,Poetry,Della Cruscan,English,"Matilda, Anna",,,,,Peripheral,"Norton, Gothic Readings",Cowley_InvocationToHorror_SpenserAndTheTradition.txt,http://spenserians.cath.vt.edu/TextRecord.php?action=GET&textsid=35091,,,,,,Spenser & the Tradition: English Poetry 1579-1830,,,7-Apr-17,,,"['sable', 'raven', 'black']","{'sable': 1, 'raven': 1, 'black': 1}"
"Melissa And Marcia: Or, The Sisters","de Montolieu, Isabelle",1788,,Novel,Gothic,Swiss,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,,,
"The Exiles, Or, Memoirs Of The Count De Cronstadt","Reeve, Clara",1788,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Emmeline, Or The Orphan Of The Castle","Smith, Charlotte Turner",1788,Romantic,Novel,Gothic,English,,,,,,Central,Caroline,Smith_Emmeline_Gutenberg.txt,http://www.gutenberg.org/files/41646/41646-h/41646-h.htm,,,,https://en.wikipedia.org/wiki/Emmeline,,,,,16-Mar-17,,,"['natural', 'black', 'blue', 'green', 'black', 'yellow', 'white', 'angry', 'angry', 'angry', 'angry', 'candid', 'rusty', 'red', 'red', 'angry', 'natural', 'angry', 'angry', 'angry', 'sanguine', 'angry', 'red', 'silver', 'black', 'angry', 'black', 'pearl-coloured', 'white', 'natural', 'angry', 'angry', 'natural', 'natural', 'angry', 'angry', 'livid', 'green', 'natural', 'white', 'white', 'black', 'grey', 'white', 'sanguine', 'sallow', 'natural', 'natural', 'candid', 'white', 'natural', 'natural', 'angry', 'canary', 'angry', 'black', 'red', 'sanguine', 'sage', 'natural', 'red', 'brown', 'black', 'candid', 'blank', 'white', 'natural', 'sanguine', 'angry', 'angry', 'angry', 'angry', 'angry', 'angry', 'angry', 'black', 'white', 'candid', 'natural', 'natural', 'natural', 'white', 'blue', 'rosy', 'natural', 'natural', 'angry', 'candid', 'natural', 'natural', 'natural', 'angry', 'white']","{'natural': 20, 'black': 8, 'blue': 2, 'green': 2, 'yellow': 1, 'white': 10, 'angry': 25, 'candid': 5, 'rusty': 1, 'red': 5, 'sanguine': 4, 'silver': 1, 'pearl-coloured': 1, 'livid': 1, 'grey': 1, 'sallow': 1, 'canary': 1, 'sage': 1, 'brown': 1, 'blank': 1, 'rosy': 1}"
Priory Of St. Bernard. An Old English Tale,"Harley, Mrs.",1789,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Zeluco. Various Views Of Human Nature, Taken From Life, And Manners, Foreign And Domestic","Moore, John",1789,Romantic,Novel,Gothic,Scottish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,https://en.wikipedia.org/wiki/Zeluco,,,,,,,,,
The Castles Of Athlin And Dunbayne,"Radcliffe, Ann",1789,Romantic,Novel,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Radcliffe_TheCastlesOfAthlynAndDunbayne_Gutenberg.txt,http://digital.library.upenn.edu/women/radcliffe/athlin/athlin.html,,,,https://en.wikipedia.org/wiki/The_Castles_of_Athlin_and_Dunbayne,,UPenn Celebration of Women Writers,,,11-Apr-17,,1789,"['natural', 'black', 'natural', 'black', 'natural', 'natural', 'natural', 'black', 'blue', 'sanguine', 'grey', 'steely', 'white', 'candid', 'grey', 'green', 'red', 'natural', 'grassy']","{'natural': 6, 'black': 3, 'blue': 1, 'sanguine': 1, 'grey': 2, 'steely': 1, 'white': 1, 'candid': 1, 'green': 1, 'red': 1, 'grassy': 1}"
Ellen Woodley. A Novel,"Bonhote, Elizabeth",1790,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Louisa: Or, The Reward Of An Affectionate Daughter","de Montolieu, Isabelle",1790,,Novel,Gothic,Swiss,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,,,
The History Of Miss Meredith. A Novel,"Parsons, Eliza",1790,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"""Superstition: An Ode""","Radcliffe, Ann",1790,Romantic,Poetry,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Radcliffe_Superstition_PoemHunter.txt,https://www.poemhunter.com/poem/superstition-an-ode/,,,,,,Poem Hunter,,,7-Apr-17,,,['purple'],{'purple': 1}
A Sicilian Romance,"Radcliffe, Ann",1790,Romantic,Novel,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Radcliffe_ASicilianRomance_Gutenberg.txt,,,,,,,,,,16-Mar-17,,,"['natural', 'blue', 'natural', 'natural', 'natural', 'white', 'purple', 'grey', 'black', 'natural', 'black', 'marble', 'rosy', 'marble', 'sulphureous', 'natural', 'grey', 'purple', 'black', 'white', 'white', 'black', 'natural', 'grey', 'green', 'white', 'black', 'golden', 'marble', 'red', 'red']","{'natural': 7, 'blue': 1, 'white': 4, 'purple': 2, 'grey': 3, 'black': 5, 'marble': 3, 'rosy': 1, 'sulphureous': 1, 'green': 1, 'golden': 1, 'red': 2}"
"Julia. A Novel, Interspersed With Some Poetical Pieces","Williams, Helen Maria",1790,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Williams_Julia_Gutenberg.txt,http://quod.lib.umich.edu/e/ecco/004843341.0001.002?rgn=main;view=fulltext,,,,,,,,,16-Mar-17,,,"['natural', 'golden', 'black', 'angry', 'torrid', 'blue', 'natural', 'black', 'green', 'green', 'white', 'green', 'green', 'natural', 'black', 'black', 'brown', 'purple', 'jetty', 'purple', 'purple', 'yellow', 'verdant', 'white', 'straw', 'black', 'black', 'straw', 'natural', 'ruddy', 'rosy', 'verdant', 'natural', 'green', 'angry', 'blank', 'angry', 'green', 'natural', 'scarlet', 'natural', 'red', 'stony', 'red', 'white', 'angry', 'bloody', 'white', 'snow', 'wainscot', 'black', 'black', 'green', 'white', 'green', 'yellow', 'green', 'natural', 'natural', 'sable', 'purple', 'red', 'sunny', 'angry', 'angry', 'angry', 'black', 'black']","{'natural': 9, 'golden': 1, 'black': 10, 'angry': 7, 'torrid': 1, 'blue': 1, 'green': 9, 'white': 5, 'brown': 1, 'purple': 4, 'jetty': 1, 'yellow': 2, 'verdant': 2, 'straw': 2, 'ruddy': 1, 'rosy': 1, 'blank': 1, 'scarlet': 1, 'red': 3, 'stony': 1, 'bloody': 1, 'snow': 1, 'wainscot': 1, 'sable': 1, 'sunny': 1}"
The Fate Of Velina De Guidova,"Radcliffe, Mary Anne",1790,Romantic,Novel,Gothic,English,,"Lane, William",Minerva Press,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,,,
"The Statue Room, An Historical Tale","Ballin, Rossetta",1790,Romantic,Novel,Gothic,,,,,,,Peripheral,,,,,,,,,,,,,,,,
"Justine, Or The Misfortunes Of Virtue","de Sade, Marquis",1791,,Novel,Gothic,French,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Justine_(de_Sade_novel),,,,,,,,,
The Danish Massacre. An Historical Fact,"Mackenzie, Anna Maria",1791,Romantic,Novel,Gothic,English,Mrs. Johnson,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,http://orlando.cambridge.org/protected/svPeople?people_tab=2&formname=r&heading=h&person_id=mackan#DanishMassacre,,,,,,,,,
"""To The Visions Of Fancy""","Radcliffe, Ann",1791,Romantic,Poetry,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,,,
"""Night""","Radcliffe, Ann",1791,Romantic,Poetry,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,,,
The Romance Of The Forest,"Radcliffe, Ann",1791,Romantic,Novel,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Radcliffe_TheRomanceOfTheForest_Adelaide.txt,https://ebooks.adelaide.edu.au/r/radcliffe/ann/forest/,,,,https://en.wikipedia.org/wiki/The_Romance_of_the_Forest,,,,,16-Mar-17,,,"['grey', 'blue', 'green', 'blue', 'natural', 'sanguine', 'green', 'natural', 'blue', 'purple', 'green', 'yellow', 'natural', 'angry', 'golden', 'green', 'snowy', 'purple', 'natural', 'natural', 'black', 'black', 'natural', 'natural', 'angry', 'angry', 'green', 'green', 'straw-coloured', 'golden', 'damask', 'angry', 'sanguine', 'brazen', 'sanguine', 'white', 'purple', 'blue', 'sanguine', 'natural', 'green', 'snowy', 'yellow', 'dun', 'snow', 'black', 'black', 'black', 'black', 'black', 'black', 'green', 'white', 'black', 'green', 'natural', 'green', 'green', 'snowy', 'olive', 'green', 'green', 'white', 'green', 'coral', 'sea-green', 'verdant', 'silver', 'white', 'verdant', 'blue', 'blue', 'white', 'gold', 'purple', 'green', 'white', 'natural', 'purple', 'blue', 'white', 'coral', 'yellow', 'green', 'marble', 'natural', 'natural', 'black', 'livid', 'natural', 'natural', 'blue', 'red', 'natural', 'black', 'natural', 'sunny', 'sable', 'natural', 'purple', 'green', 'green', 'wine', 'blue', 'white']","{'grey': 1, 'blue': 9, 'green': 18, 'natural': 17, 'sanguine': 4, 'purple': 6, 'yellow': 3, 'angry': 4, 'golden': 2, 'snowy': 3, 'black': 11, 'straw-coloured': 1, 'damask': 1, 'brazen': 1, 'white': 8, 'dun': 1, 'snow': 1, 'olive': 1, 'coral': 2, 'sea-green': 1, 'verdant': 2, 'silver': 1, 'gold': 1, 'marble': 1, 'livid': 1, 'red': 1, 'sunny': 1, 'sable': 1, 'wine': 1}"
The School For Widows. A Novel,"Reeve, Clara",1791,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books/about/The_School_for_Widows.html?id=kic1AAAAMAAJ&redir_esc=y,,,,,,,,,,
Mary De Clifford. A Story Interspersed With Many Poems,"Brydges, Sir Samuel Egerton",1792,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://babel.hathitrust.org/cgi/pt?id=inu.30000115388724;view=1up;seq=11,,,,,,,,,,
Anna St. Ives. A Novel,"Holcroft, Thomas",1792,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Holcroft_AnnaStIves_UMDL.txt,http://quod.lib.umich.edu/e/ecco?type=bib&q1=anna+st+ives&rgn1=title&op2=and&q2=holcroft&rgn2=author&op3=and&q3=&rgn3=title&Submit=Search,,,,,,University of Michigan Digital Library Text Collections,,,11-Apr-17,,"London, 1792","['green', 'yellow', 'angry', 'natural', 'angry', 'natural', 'natural', 'natural', 'natural', 'green', 'angry', 'marble', 'brown', 'green', 'angry', 'angry', 'black', 'white', 'white', 'white', 'black', 'black', 'natural', 'angry', 'angry', 'red', 'green', 'black', 'natural', 'angry', 'angry', 'angry', 'angry', 'angry', 'angry', 'yellow', 'parchment', 'ivory', 'white', 'plum', 'white', 'red', 'angry', 'sanguine', 'angry', 'natural', 'angry', 'angry', 'gull', 'red', 'bloody', 'yellow', 'rusty', 'angry', 'angry', 'angry', 'hoary', 'natural', 'red', 'yellow', 'white', 'marble', 'white', 'angry', 'gull', 'red', 'black', 'black', 'green', 'angry', 'golden', 'white', 'golden', 'golden', 'black', 'angered', 'purple', 'black', 'milky', 'red', 'white', 'blank', 'angry', 'black', 'natural', 'black', 'black', 'white', 'angry', 'black', 'black', 'black', 'angry', 'black', 'angry', 'angry', 'black', 'angry', 'red', 'drabs', 'straws', 'black', 'white']","{'green': 5, 'yellow': 4, 'angry': 28, 'natural': 10, 'marble': 2, 'brown': 1, 'black': 17, 'white': 11, 'red': 7, 'parchment': 1, 'ivory': 1, 'plum': 1, 'sanguine': 1, 'gull': 2, 'bloody': 1, 'rusty': 1, 'hoary': 1, 'golden': 3, 'angered': 1, 'purple': 1, 'milky': 1, 'blank': 1, 'drabs': 1, 'straws': 1}"
"Vacenza, Or, The Dangers Of Credulity","Robinson, Mary",1792,Romantic,Novel,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
