Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition
"The Italian Banditti, Or, The Secret History Of Henry And Matilda. A Romance. With Horrible Revenge Is Bound Hopeless Love. An Interesting Tale","Crookenden, Isaac",1811,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"Chapbook, per http://www.oxforddnb.com.ezproxy.library.uvic.ca/view/article/63518",,,,,,
The Passions,"Dacre, Charlotte",1811,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Montalva, Or, Annals Of Guilt","Hamilton, Ann Mary",1811,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/montalvaorannal00hamigoog,,,,,,,,
"""Walpole'S Castle Of Otranto""","Scott, Sir Walter",1811,Romantic,Theory & Criticism,Review,Scottish,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
"St. Irvyne, Or, The Rosicrurian. A Romance","Shelley, Percy",1811,Romantic,Novella,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyPercy_StIrvyne_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0606391h.html,,,,,,,,Aug-06,21-Mar-17,"Scott, Richard",
Pyrenean Banditti. A Romance,"Sleath, Eleanor",1811,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"""The Foundling""","von Kleist, Heinrich",1811,German Romantic,Short Story,Gothic,German,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,
The Milesian Chief. A Romance,"Maturin, Charles Robert",1812,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://play.google.com/store/books/details?id=y6g_AAAAYAAJ&rdid=book-y6g_AAAAYAAJ&rdot=1,,,,,,,,
The Confessional Of Valombre. A Romance,"Stanhope, Louisa Sidney",1812,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Tales Of The Dead,Anonymous,1812,Romantic,Short Story Collection,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,"Utterson, Sarah Elizabeth",,https://en.wikipedia.org/wiki/Tales_of_the_Dead,Translated from French by Utterson; inspired Frankenstein,,,,,,
The Heroine,"Barrett, Eaton Stannard",1813,Romantic,Novel,Gothic Parody,Irish,,,,,,Central,"Norton, Gothic Readings",Stannard_TheHeroine_Gutenberg.txt,http://www.gutenberg.org/cache/epub/43065/pg43065.txt,,,https://archive.org/details/heroineoradventu01barre,,,,#43065,30-Jun-13,,,
The Giaour,"Byron, Lord George Gordon",1813,Romantic,Poetry,Narrative Poem,English,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Byron_TheGiaour_UPennSAS.txt,,,,,https://en.wikipedia.org/wiki/The_Giaour,,Upenn SAS,,,16-Apr-17,,
Deception,"Green, Sarah",1813,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Marchioness!!! Or, ""The Matured Enchantress""","Ross, Mrs.",1813,Romantic,Novel,Gothic,,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The Travels Of Sylvester Tramper In Africa,"Walker, George",1813,Romantic,Novel,Gothic,English,,,,,,Peripheral,https://en.wikipedia.org/wiki/George_Walker_(novelist),,,,,,,,,,,,,
Madelina. A Tale Founded On Facts,"Stanhope, Louisa Sidney",1814,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The Devil'S Elixir,"Hoffmann, E. T. A",1815,German Romantic,Novel,Gothic,German,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/The_Devil%27s_Elixirs,Influenced by The Monk,,,,,,
"Barozzi, Or, The Venetian Sorceress. A Romance Of The Sixteenth Century","Smith, Catharine",1815,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Treachery, Or, The Grave Of Antoinette","Stanhope, Louisa Sidney",1815,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Manfred,"Byron, Lord George Gordon",1816,Romantic,Drama,Gothic,English,,,,,,Central,"Davison, Gothic Literature",Byron_Manfred_Gutenberg.txt,https://www.gutenberg.org/files/20158/20158-h/20158-h.htm#MANFRED,,,,,,,,,,,
"""On 'German Drama'""","Coleridge, Samuel Taylor",1816,Romantic,Theory & Criticism,Literary Theory,English,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
Glenarvon,"Lamb, Caroline",1816,Romantic,Novel,Gothic,Anglo-Irish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/glenarvon01lambc,https://en.wikipedia.org/wiki/Glenarvon,,,,,,,
Bertram,"Maturin, Charles Robert",1816,Romantic,Drama,Gothic,Irish,,,,,,Central,"Norton, Gothic Readings",,,,,https://archive.org/details/bertramtragedyin00matu,,,,,,,,
"The Balance Of Comfort, Or, The Old Maid And Married Woman. A Novel","Ross, Mrs.",1816,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"""The Entail""","Hoffmann, E. T. A",1817,German Romantic,Short Story,Gothic,German,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Hoffmann_TheEntail_eBooksAtAdelaide.txt,https://ebooks.adelaide.edu.au/h/hoffmann/eta/entail/complete.html,,,,,,eBooks at Adelaide,,17-Dec-14,16-Apr-17,,
"""The Sandman""","Hoffmann, E. T. A",1817,German Romantic,Short Story,Gothic,German,,,,,,Peripheral,Caroline,Hoffmann_TheSandman_VCU.txt,http://germanstories.vcu.edu/hoffmann/sand_e.html,,"Oxenford, John",,https://en.wikipedia.org/wiki/The_Sandman_(short_story),,19th Century German Stories at VCU,,1999,16-Apr-17,"Godwin-Jones, Robert",
An Angel'S Form And A Devil'S Heart,"Davenport, Selina",1818,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/angelsformanddev03dave,,,,,,,,
Nightmare Abbey,"Peacock, Thomas Love",1818,Romantic,Novel,Gothic Parody,English,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Peacock_NightmareAbbey_Gutenberg.txt,http://www.gutenberg.org/ebooks/9909,,,,https://en.wikipedia.org/wiki/Nightmare_Abbey,,Project Gutenberg,#9909,nov 19 2011,17-Apr-17,"Suzanne Shell, Tom Allen, and the Online
Distributed Proofreading Team",
"Frankenstein, Or, The Modern Prometheus","Shelley, Mary",1818,Romantic,Novel,Gothic,English,,,,,,Central,"Norton, Gothic Readings",ShelleyMary_Frankenstein_Gutenberg.txt,http://www.gutenberg.org/cache/epub/84/pg84.txt,,,,https://en.wikipedia.org/wiki/Frankenstein,,Project Gutenberg,#84,,21-Mar-17,"Haines, Al",
The Nun Of Santa Maria Di Tindaro. A Tale,"Stanhope, Louisa Sidney",1818,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"""The Preternatural In Works Of Fiction""",Unsigned,1818,Romantic,Theory & Criticism,Literary Theory,,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
The Black Robber. A Romance,"Ball, Edward",1819,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The Sisters Of St. Gothard. A Tale,"Brown, Elizabeth Cullen",1819,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://play.google.com/store/books/details?id=xKgBAAAAQAAJ&rdid=book-xKgBAAAAQAAJ&rdot=1,,,,,,,,
Fragment Of A Novel,"Byron, Lord George Gordon",1819,Romantic,Fragment,Gothic,English,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,http://archive.org/stream/mazeppaapoem02byrogoog#page/n64/mode/2up,https://en.wikipedia.org/wiki/Fragment_of_a_Novel,,,,,,,
"""William Godwin'S Novels""","Hazlitt, William",1819,Romantic,Theory & Criticism,Criticism,English,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
"""Gambler's Luck""","Hoffmann, E. T. A",1819,German Romantic,Short Story,Gothic,German,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Hoffmann_GamblersLuck_eBooksAtAdelaide.txt,https://ebooks.adelaide.edu.au/h/hoffmann/eta/gambler/,,,,,,,,,,,
"""La Belle Dame Sans Merci""","Keats, John",1819,Romantic,Poetry,Gothic,English,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/Gothic_fiction,Keats_LaBelleDameSansMerci_PoetryFoundation.txt,https://www.poetryfoundation.org/resources/learning/core-poems/detail/44475,,,,https://en.wikipedia.org/wiki/La_Belle_Dame_sans_Merci,,,,,,,
"The Veiled Protectress, Or, The Mysterious Mother. A Novel","Meeke, Mary",1819,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Ernestus Berchtold, Or, The Modern Oedipus. A Tale","Polidori, John William",1819,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/ErnestusBerchtoldOrTheModernOEdipus,,,,,,,,
The Vampyre. A Tale,"Polidori, John William",1819,Romantic,Novella,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Polidori_TheVampyre_Gutenberg.txt,http://www.gutenberg.org/cache/epub/6087/pg6087.txt,,,,https://en.wikipedia.org/wiki/The_Vampyre,,,#6087,26-May-12,21-Mar-17,,
Mathilda,"Shelley, Mary",1819,Romantic,Novella,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyMary_Mathilda_Gutenberg.txt,http://www.gutenberg.org/cache/epub/15238/pg15238.txt,,,,https://en.wikipedia.org/wiki/Mathilda_(novella),,,#15238,2-Mar-05,21-Mar-17,"Nitchie, Elizabeth; Starner, David and Samuel, Cori",
Sir Ralph Willoughby. An Historical Tale Of The Sixteenth Century,"Brydges, Sir Samuel Egerton",1820,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://catalog.hathitrust.org/Record/008667725,,,,,,,,
"The Mystery, Or, Forty Years Ago. A Novel","Gaspey, Thomas",1820,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Warbeck Of Wolfsteïn,"Holford, Margaret",1820,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Brothers, Or, The Castle Of Niolo","Huish, Robert",1820,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/brothers00huisgoog,,,,,,,,
"Isabella, Or The Pot Of Basil","Keats, John",1820,Romantic,Poetry,Gothic,English,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/Gothic_fiction,Keats_Isabella_Bartleby.txt,http://www.bartleby.com/126/38.html,,,,"https://en.wikipedia.org/wiki/Isabella,_or_the_Pot_of_Basil",,,,,,,
"Italian Mysteries, Or, More Secrets Than One. A Romance","Lathom, Francis",1820,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=C5WVcyPF754C&pg=PR13&lpg=PR13&dq=%22italian+mysteries%22+lathom+full+text&source=bl&ots=eBpYOECJvt&sig=0cffoy78_uvIbrNFwmJhGJnELBE&hl=en&sa=X&ved=0ahUKEwi6ltrq8ejSAhVoi1QKHZeIAWgQ6AEIITAC#v=onepage&q=%22italian%20mysteries%22%20lathom%20full%20text&f=false,,,,,,,,
"Gwelygordd, Or, The Child Of Sin. A Tale Of Welsh Origin","Lucas, Charles",1820,Romantic,Novel,Gothic,,,"Lane, William",Minerva Press,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Melmoth The Wanderer,"Maturin, Charles Robert",1820,Romantic,Novel,Gothic,Irish,,,,,,Central,"Norton, Gothic Readings",Maturin_Melmoth_Gutenberg.txt,http://www.gutenberg.org/files/53688/53688-0.txt,,,,,,,#53685,7-Dec-16,21-Mar-17,"David Edwards, Jana Srna and www.pgdp.net",
The Vampire,"Planché, James Robinson",1820,Romantic,Drama,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",Planche_TheVampire_UPenn.txt,http://www.forgottenfutures.com/game/ff6/vampire.htm,,,,https://en.wikipedia.org/wiki/The_Vampire_(play),"Based on Nodier's Le Vampire, which was adapted from Polidori",,,,,,
"The Spectre Of Lanmere Abbey, Or, The Mystery Of The Blue And Silver Bag","Wilkinson, Sarah",1820,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=k4exxIKNf-EC&pg=PA14&lpg=PA14&dq=wilkinson+spectre+lanmere+full+text&source=bl&ots=56sqjksgD1&sig=YMTsAGITlrNxHbl8lkkTRKgL46A&hl=en&sa=X&ved=0ahUKEwi9yZOK9OjSAhUC_mMKHb2eDPkQ6AEIGjAA#v=onepage&q=wilkinson%20spectre%20lanmere%20full%20text&f=false,,,,,,,,
"""The Legend Of Sleepy Hollow""","Irving, Washington",1821,,Short Story,Gothic,American,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,https://www.gutenberg.org/files/41/41-h/41-h.htm,,,,https://en.wikipedia.org/wiki/The_Legend_of_Sleepy_Hollow,,Project Gutenberg,#41,25-Jun-08,17-Apr-17,Ilana M. (Kingsley) Newby and Greg Newby,
Review Of Maturin'S Melmoth The Wanderer,Unsigned,1821,Romantic,Theory & Criticism,Criticism,,,,,,,,"Norton, Gothic Readings",Irving_TheLegendOfSleepyHollow_Gutenberg.txt,https://www.gutenberg.org/files/41/41-h/41-h.htm,,,,,,,,,,,
"The Three Perils Of Man, Or, War, Women, And Witchcraft. A Border Romance","Hogg, James",1822,Romantic,Novel,Gothic,Scottish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The House Of Ravenspur. A Romance,Mrs. Jamieson (Francis Thurtle),1822,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://babel.hathitrust.org/cgi/pt?id=umn.31951002132991x;view=1up;seq=5,,,,,,,,
Graham Hamilton,"Lamb, Caroline",1822,Romantic,Novel,Gothic,Anglo-Irish,,"Colburn, Henry",,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/grahamhamilton01lamb,,,,,,,,
"Roche-Blanche, Or, The Hunters Of The Pyrenees. A Romance","Porter, Anna Maria",1822,Romantic,Novel,Gothic,Scottish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/rocheblancheorhu01port,,,,,,,,
Ada Reis. A Tale,"Lamb, Caroline",1823,Romantic,Novel,Gothic,Anglo-Irish,,"Murray, John",,London,Albemarle-Street,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/adareistale01lamb,,,,,,,,
"Bridal Of Dunmore, And, Lost And Won","Roche, Regina Maria",1823,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Valperga, Or, The Life And Adventures Of Castruccio, Prince Of Lucca","Shelley, Mary",1823,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyMary_Valperga_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0606801h.html,,,https://archive.org/details/bub_gb_LS3QAAAAMAAJ,https://en.wikipedia.org/wiki/Valperga_(novel),,Project Gutenberg Australia,0606801h.html,Aug-06,21-Mar-17,"Scott, Richard",
"Rosalviva, Or, The Demon Dwarf. A Romance","Fletcher, Grenville",1824,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,Can't locatetext,,,https://play.google.com/store/books/details?id=a9MGAAAAQAAJ&rdid=book-a9MGAAAAQAAJ&rdot=1,,Valancourt has an edition,,,,,,
"The Prophecy Of Duncannon, Or, The Dwarf And The Seer. A Caledonian Legend","Green, William Child",1824,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Woodland Family, Or, The Sons Of Error And Daughters Of Simplicity. A Domestic Tale","Green, William Child",1824,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The Private Memoirs And Confessions Of A Justified Sinner,"Hogg, James",1824,Romantic,Novel,Gothic,Scottish,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Hogg_PrivateMemoirs_Gutenberg.txt,http://www.gutenberg.org/cache/epub/2276/pg2276.txt,,,https://archive.org/details/privatememoirsco00hoggrich,https://en.wikipedia.org/wiki/The_Private_Memoirs_and_Confessions_of_a_Justified_Sinner,,Project Gutenberg,#2276,21-Mar-09,21-Mar-17,Produced by Andreas Philipp and Martin Adamson. HTML version by Al Haines,
"""The Adventure Of The German Student""","Irving, Washington",1824,Romantic,Short Story,Gothic,American,,,,,,Peripheral,"Norton, Gothic Readings",Irving_TheAdventureOfTheGermanStudent_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0603731h.html,,,,,,Project Gutenberg Australia,0603731h.html,Jul-06,17-Apr-17,"Scott, Richard",
The Albigenses. A Romance,"Maturin, Charles Robert",1824,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/albigensesromanc04matu,,,,,,,,
The Siege Of Kenilworth. An Historical Romance,"Stanhope, Louisa Sidney",1824,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Highest Castle And The Lowest Cave, Or, Events Of The Days Which Are Gone","Edridge, Rebecca",1825,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The Castle Chapel. A Romantic Tale,"Roche, Regina Maria",1825,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Mysterious Monk, Or, The Wizard'S Tower","Bolen, C. A.",1826,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Abbot Of Montserrat, Or, The Pool Of Blood. A Romance","Green, William Child",1826,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Gaston De Blondeville, Or, The Court Of Henry Iii. Keeping Festival In Ardenne","Radcliffe, Ann",1826,Romantic,Novel,Gothic,English,,"Colburn, Henry",,London,New Burlington Street,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,Can't locate,,,https://archive.org/details/gastondeblondevi01radc,https://en.wikipedia.org/wiki/Gaston_de_Blondeville,,,,,,,
The Last Man,"Shelley, Mary",1826,Romantic,Novel,Gothic,English,,"Colburn, Henry",,London,New Burlington Street,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyMary_TheLastMan_Gutenberg.txt,http://www.gutenberg.org/cache/epub/18247/pg18247.txt,,,,https://en.wikipedia.org/wiki/The_Last_Man,,,#18247,24-Apr-06,21-Mar-17,,
"The Isle Of Devils. An Historical Tale, Founded On An Anecdote In The Annals Of Portugal","Lewis, Matthew",1827,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/isleofdevilshist00lewirich,,,,,,,,
The Epicurean. A Tale,"Moore, Thomas",1827,Romantic,Novel,Gothic,Irish,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Moore_TheEpicurean_Gutenberg.txt,http://www.gutenberg.org/files/49332/49332-0.txt,,,https://en.wikipedia.org/wiki/The_Epicurean,,,Project Gutenberg,#49332,29-Jun-15,21-Mar-17,,
"Ringrove, Or, Old Fashioned Notions","West, Jane",1827,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Salathiel. A Story Of The Past, The Present, And The Future","Croly, George",1828,Romantic,Novel,Gothic,Irish,,"Colburn, Henry",,London,New Burlington Street,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/salathielastory01crogoog,,Wandering Jew,,,,,,
Italian Vengeance And English Forbearance. A Romance,"Davenport, Selina",1828,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"The Red Barn. A Tale, Founded On Fact","Huish, Robert",1828,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/redbarnatalefou00huisgoog,,,,,,,,
Contrast,"Roche, Regina Maria",1828,Romantic,Novel,Gothic,Irish,,A. K. Newman & Co.,,London,Leadenhall-Street,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Sir Ethelbert, Or, The Dissolution Of Monasteries. A Romance","Cuthbertson, Catherine",1830,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
The Fortunes Of Perkin Warbeck. A Romance,"Shelley, Mary",1830,Romantic,Novel,Gothic,English,,"Colburn, Henry and Bentley, Richard",,London,New Burlington Street,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyMary_PerkinWarbeck_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0606411h.html,,,https://archive.org/details/fortunesofperkin00sheluoft,https://en.wikipedia.org/wiki/The_Fortunes_of_Perkin_Warbeck,,,,Aug-06,21-Mar-17,"Scott, Richard",
The Corsair'S Bride. A Legend Of The Sixteenth Century,"Stanhope, Louisa Sidney",1830,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Alibeg The Tempter. A Tale Wild And Wonderful,"Green, William Child",1831,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/alibegtempterat00greegoog,,,,,,,,
The Hunchback Of Notre Dame,"Hugo, Victor",1831,French Romantic,Novel,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Hugo_HunchbackOfNotreDame_Gutenberg.txt,http://www.gutenberg.org/ebooks/2610,,"Hapgood, Isabel F.",,https://en.wikipedia.org/wiki/The_Hunchback_of_Notre-Dame,,Project Gutenberg,#2610,Apr-01,17-Apr-17,"Cao, Peter Snow",
"Klosterheim, Or, The Masque","DeQuincey, Thomas",1832,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",deQuincey_Klosterheim_eBooksAtAdelaide.txt,https://ebooks.adelaide.edu.au/d/de_quincey/thomas/klosterheim/complete.html,,,https://archive.org/details/klosterheimorma02quingoog,,,,,,,,
"The Algerines, Or, The Twins Of Naples","Green, William Child",1832,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
Fitzallen,"Huish, Robert",1832,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Champavert, Contes Immoraux","Borel, Petrus",1833,French Romantic,Short Story Collection,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,
Rookwood,"Ainsworth, William Harrison",1834,,Novel,Gothic,American,,,,,,Central,"Norton, Gothic Readings",Ainsworth_Rookwood_Gutenberg.txt,http://www.gutenberg.org/files/23564/23564-h/23564-h.htm,,,,https://en.wikipedia.org/wiki/Rookwood_(novel),,Project Gutenberg,#23564,7-Nov-07,21-Mar-17,"Produced by Afra Ullah, Stephen Blundell and the Online Distributed Proofreading Team at http://www.pgdp.net",
"""Young Goodman Brown""","Hawthorne, Nathaniel",1835,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Young_Goodman_Brown,,,,,,,
"""Berenice""","Poe, Edgar Allan",1835,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Poe_Berenice_EAPoe-org.txt,https://www.eapoe.org/works/tales/bernicea.htm,,,,https://en.wikipedia.org/wiki/Berenice_(short_story),,Edgar Allan Poe Society of Baltimore,,9-Aug-05,17-Apr-17,,
Lodore,"Shelley, Mary",1835,Romantic,Novel,Gothic,English,,"Colburn, Henry",,London,New Burlington Street,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyMary_Lodore_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0606381h.html,,,https://archive.org/details/lodore00shelgoog,https://en.wikipedia.org/wiki/Lodore,,Project Gutenberg Australia,#932,6-Aug,21-Mar-17,"Scott, Richard",
"""The Minister'S Black Veil""","Hawthorne, Nathaniel",1836,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Hawthorne_TheMinistersBlackVeil_Gutenberg.txt,https://www.gutenberg.org/files/13707/13707-h/13707-h.htm#minister,,,,https://en.wikipedia.org/wiki/The_Minister%27s_Black_Veil,,,,,,,
"""La Vénus D'Ille""","Mérimée, Prosper",1837,,Short Story,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/La_V%C3%A9nus_d%27Ille,,,,,,,
